Région,Nature,Type,Texte annonce,Prix,Modifiée
Le Bardo,Vente,Maisons,Réf 93v résidence appart hôte,4500000.0,2024-04-12
La Goulette Por,Vente,App. 4 pièc,Appartement s3 avec une,680000.0,2024-04-12
Carthage,Vente,App. 5 pièc,Magnifique villa à carth,8500000.0,2024-04-12
Gammart,Vente,App. 3 pièc,Appartement de type s3,500000.0,2024-04-12
El Menzah 9,Vente,Maisons,Villa jumlee a menzah 9c,1200000.0,2024-04-12
Cite Ennasr 2,Vente,App. 5 pièc,S4 spacieux et lumineux,700000.0,2024-04-12
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s1 à bha,90000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Apprt splus  23 à ai,287000.0,2024-04-12
Cite Ennour Jaa,Vente,App. 3 pièc,S2 rdc nour jaafer,127000.0,2024-04-12
Cite El Moez,Vente,Maisons,Villa bratislava à c,1810000.0,2024-04-12
Zaghouan,Vente,Surfaces,Aire de repos zitoun,370000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Appartement mourouj 6 s2,230000.0,2024-04-12
El Mourouj,Vente,Duplex,Duplex cité riadh,170000.0,2024-04-12
Le Bardo,Vente,Maisons,Maison henda bardo,750000.0,2024-04-12
Kelibia,Vente,App. 2 pièc,Villa el mansourah kelib,285000.0,2024-04-12
Dar Allouche,Vente,Maisons,Charmante villa avec pis,550000.0,2024-04-12
Kelibia,Vente,App. 2 pièc,Agréable et luxueux appa,175000.0,2024-04-12
Hammamet,Vente,Maisons,Villa milos 2,860000.0,2024-04-12
Akouda,Vente,App. 5 pièc,Petit immeuble r plu,1550000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Apprt s2 à  ain zagh,240000.0,2024-04-12
Bab Menara,Vente,App. 2 pièc,Un appartement a beb mna,120000.0,2024-04-12
Bab Menara,Vente,Autre,Fond de commerce d'un re,75000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Apprt s3 à  l'aouina,320000.0,2024-04-12
Hammam Lif,Vente,Maisons,Villa centre de hammam l,999000.0,2024-04-12
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2 à bha,100000.0,2024-04-12
La Soukra,Vente,Maisons,Villa haut standing à la souk,1450000.0,2024-04-12
Hammamet,Vente,App. 2 pièc,Immeuble e 4 étages pas,280000.0,2024-04-12
La Soukra,Vente,App. 2 pièc,Appartement s1   à l,165000.0,2024-04-12
Sidi Salah,Vente,App. 1 pièc,Apprt s0 à chotrana 1   s,120000.0,2024-04-12
Hammamet,Vente,Maisons,V468 villa sandra 1 crax,990000.0,2024-04-12
Arkou,Vente,Maisons,Maison djerbienne av,1350000.0,2024-04-12
Cite Ennasr 2,Vente,App. 4 pièc,S3 haut standing a ennas,410000.0,2024-04-12
Cite El Ghazala,Vente,App. 4 pièc,S3 335 md ghazela,335000.0,2024-04-12
Hammamet,Vente,Duplex,Av duplexs4 avec piscine,250000.0,2024-04-12
Hammamet,Vente,Maisons,Av villa de charme s4 av,980000.0,2024-04-12
Cite Sahloul,Vente,App. 3 pièc,Appartement s2 bien,260000.0,2024-04-12
Ben Arous,Vente,Maisons,Villa  à cité taamir,420000.0,2024-04-12
El Mourouj,Vente,App. 4 pièc,App mourouj 1,180000.0,2024-04-12
Hammamet,Vente,Maisons,V472 villa rimel sud ham,890000.0,2024-04-12
Cite Ennkhilet,Vente,Maisons,appartement s3   cit r,295000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Appartement  s1 enco,178000.0,2024-04-12
Bou Mhel,Vente,App. 1 pièc,Appartement s1 à boumhel bass,155000.0,2024-04-12
El Mourouj,Vente,Duplex,Villa mourouj 01,500000.0,2024-04-12
Chouchet Rades,Vente,App. 3 pièc,Appartement chouchet rad,300000.0,2024-04-12
Dar Chaabane Pl,Vente,Maisons,Villa lido,680000.0,2024-04-12
Cite Ain Meriem,Vente,Maisons,Une villa ain mariem,320000.0,2024-04-12
Zaghouan,Vente,Maisons,Villa   tangalle,580000.0,2024-04-12
Bizerte,Vente,App. 1 pièc,Terrain terrain,370000.0,2024-04-12
Hammamet,Vente,Maisons,Villa romance,980000.0,2024-04-12
Sidi Jedidi,Vente,Maisons,Villa domino,790000.0,2024-04-12
Gammart,Vente,App. 3 pièc,Villa s3 à gammarth zvv0,1100000.0,2024-04-12
El Mourouj,Vente,Duplex,Duplex mourouj 1,570000.0,2024-04-12
Hammamet,Vente,Maisons,Villa haut standing,750000.0,2024-04-12
Midoun,Vente,Maisons,Un bien exceptionnel,1100000.0,2024-04-12
La Soukra,Vente,Maisons,Immeuble malaisie à,850000.0,2024-04-12
El Mourouj,Vente,Maisons,Maison dalila,260000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Appartement s2 avec place,270000.0,2024-04-12
El Manar 1,Vente,App. 4 pièc,S plus 3 a el manar,245000.0,2024-04-12
El Manar 2,Vente,Maisons,Magnifique villa au calm,2500000.0,2024-04-12
Mutuelle Ville,Vente,Maisons,Villa à rénover au mutue,2000000.0,2024-04-12
El Menzah 5,Vente,Maisons,Villa de charme au menza,1400000.0,2024-04-12
Beni Khiar,Vente,Maisons,V473 villa rahil beni kh,630000.0,2024-04-12
El Menzah 6,Vente,Maisons,Villa de charme au menza,2500000.0,2024-04-12
Borj Touil,Vente,Maisons,Maisons borj touil,330000.0,2024-04-12
Borj Touil,Vente,Maisons,Maisons borj touil,350000.0,2024-04-12
Cite Ennasr 1,Vente,App. 4 pièc,S3 465 md ennasr 1,465000.0,2024-04-12
Jardins d'el Me,Vente,App. 2 pièc,S1 180 md aux jardins de,180000.0,2024-04-12
Cite Ennasr 2,Vente,App. 4 pièc,S3 avec jardin à ennasr,475000.0,2024-04-12
Kelibia,Vente,Maisons,Merveilleuse villa,380000.0,2024-04-12
El Menzah 6,Vente,Duplex,Triplex s4 rénove au men,600000.0,2024-04-12
Kelibia,Vente,App. 2 pièc,Maison arabesque a kelib,225000.0,2024-04-12
Zone urbaine no,Vente,App. 2 pièc,Appt moderne s2 sup 110,390000.0,2024-04-12
Kerkouane,Vente,Maisons,Villa aplage kerkouane,150000.0,2024-04-12
La Soukra,Vente,Maisons,Villa la soukra sidi fre,990000.0,2024-04-12
Ain Zaghouan,Vente,App. 4 pièc,Appartement s4 à ain zag,700000.0,2024-04-12
Ben Arous,Vente,App. 2 pièc,Appart s2  ben arous,170000.0,2024-04-12
Cite Ennasr 1,Vente,App. 3 pièc,Appartement s2 à cité en,320000.0,2024-04-12
El Menzah 5,Vente,Maisons,Villa a usage commercial,1350000.0,2024-04-12
El Mourouj,Vente,Maisons,Villa à el mourouj 2,400000.0,2024-04-12
Denden,Vente,Autre,Local commercial sur rou,3300000.0,2024-04-12
Denden,Vente,Autre,Local commercial à dende,3080000.0,2024-04-12
Hammamet,Vente,Maisons,V477 villa le palais nor,1250000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Appartement s2 à cit,248400.0,2024-04-12
La Soukra,Vente,Maisons,Villa style triplex la s,1280000.0,2024-04-12
La Soukra,Vente,Maisons,Villa neuve style duplex,970000.0,2024-04-12
La Soukra,Vente,App. 4 pièc,Etage solène à la so,450000.0,2024-04-12
Cite De La Plag,Vente,Maisons,Villa r plus 2 cité,1170000.0,2024-04-12
Hammamet,Vente,Maisons,Villa  apollo,1050000.0,2024-04-12
Hammamet,Vente,Maisons,Villa   salvador,990000.0,2024-04-12
Hammamet,Vente,Maisons,Villa lella baya,1380000.0,2024-04-12
Le Bardo,Vente,Maisons,Maison à bardo,350000.0,2024-04-12
Hammamet,Vente,Maisons,V479 villa hanin 2 sud v,850000.0,2024-04-12
Hammamet,Vente,Maisons,Dar la palmeraie,1550000.0,2024-04-12
Rades,Vente,Maisons,Maison rades,200000.0,2024-04-12
El Aouina,Vente,App. 4 pièc,Apprt au rdc  à cité,445000.0,2024-04-12
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement splus 2 à bha,350000.0,2024-04-12
Jardins de Cart,Vente,App. 2 pièc,Jardin de carthage appar,506620.0,2024-04-12
Berge Du Lac,Vente,Duplex,Un duplex avec jardin da,1850000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,S plus 2 neuf à l'aouina,285000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,S3 imran à l'aouina,290000.0,2024-04-12
Cite El Mahrsi,Vente,Maisons,V482 villa royale sidi m,2300000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,App haut standing,180000.0,2024-04-12
Jardins de Cart,Vente,App. 3 pièc,Ve1553 villa aux jardins de c,1500000.0,2024-04-12
Mnihla,Vente,Autre,Terrain idéal sur la rou,2739000.0,2024-04-12
La Soukra,Vente,App. 2 pièc,Appartement s1au rdc,180000.0,2024-04-12
Cite El Ghazala,Vente,App. 3 pièc,Des s2 direct promoteur,420000.0,2024-04-12
El Aouina,Vente,App. 4 pièc,Réf 30v appartement s3 vide,360000.0,2024-04-12
Le Bardo,Vente,Maisons,Réf 78v une ancienne maison a,560000.0,2024-04-12
Cite Ibn Khaldo,Vente,Maisons,Duplex indépendant d'ang,430000.0,2024-04-12
El Aouina,Vente,Maisons,Grande villa sur rue pri,3700000.0,2024-04-12
El Aouina,Vente,App. 4 pièc,Appartement s3 au rd,270000.0,2024-04-12
Le Kef,Vente,Maisons,Villa haleema à teje,200000.0,2024-04-12
El Mourouj,Vente,Duplex,Duplex retapé a neuf,310000.0,2024-04-12
Raoued,Vente,Autre,Réf 82v immeuble r3 avec dupl,1500000.0,2024-04-12
Carthage,Vente,Maisons,Une villa à quelques mèt,3100000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Appartement s2 à   wahat,263610.0,2024-04-12
Gammart,Vente,Maisons,Villa à gammarth,2200000.0,2024-04-12
Denden,Vente,App. 2 pièc,Appartement salon plus deux p,180000.0,2024-04-12
Khelidia,Vente,Surfaces,Local khelidia,55000.0,2024-04-12
Denden,Vente,App. 3 pièc,Haut standing,180000.0,2024-04-12
Cite Ennkhilet,Vente,App. 3 pièc,S2 enkhilete 210 md,210000.0,2024-04-12
