Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
El Menzah 9,Vente,Maisons,Villa jumlee a menzah 9c,1200000.0,2024-04-12,Haut,6768000.0,846000.0,Villa,5.0,,300
Kelibia,Vente,App. 2 pièc,Agréable et luxueux appa,175000.0,2024-04-12,Bas,2472000.0,353142.85714285716,Appartement,2.0,,150
Borj Cedria,Vente,Autre,Une villa  sur deux étag,620000.0,2024-04-12,Moyen-Haut,1525000.0,381250.0,Autre,4.0,,300
La Soukra,Vente,Maisons,Villa style triplex la s,1400000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
Gammart,Vente,Maisons,Immeuble hamna à gam,550000.0,2024-04-12,Moyen-Haut,7130000.0,1188333.3333333333,Villa,4.0,,300
Bizerte,Vente,App. 1 pièc,Terrain terrain,370000.0,2024-04-12,Moyen-Bas,630000.0,315000.0,Appartement,1.0,,150
Chatt Meriem,Vente,App. 3 pièc,Offre appartement s2 pro,320000.0,2024-04-12,Moyen-Bas,2340000.0,334285.71428571426,Appartement,3.0,,150
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270000.0,2024-04-12,Moyen-Bas,270000.0,270000.0,Appartement,2.0,,150
Ezzahra,Vente,Maisons,Villa avec piscine à ezz,480000.0,2024-04-12,Moyen-Haut,1155000.0,385000.0,Maison,3.0,,150
Hammamet,Vente,Maisons,Villa  apollo,1050000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Sidi Bou Ali,Vente,Maisons,Maison a salmoun,75000.0,2024-04-12,Bas,75000.0,75000.0,Maison,1.0,,50
El Kantaoui,Vente,Maisons,Villa à rénover à ka,2200000.0,2024-04-12,Haut,10400000.0,5200000.0,Villa,5.0,,300
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2 à bha,100000.0,2024-04-12,Bas,1350000.0,225000.0,Appartement,2.0,,150
El Aouina,Vente,Maisons,Grande villa sur rue pri,3700000.0,2024-04-12,Haut,14043620.0,438863.125,Villa,5.0,,300
Le Bardo,Vente,Maisons,Villa jumlee 730 md  le,730000.0,2024-04-12,Moyen-Haut,6890000.0,1378000.0,Villa,4.0,,300
Nouvelle Medina,Vente,Maisons,Charmante villa de p,720000.0,2024-04-12,Moyen-Haut,1088000.0,272000.0,Villa,4.0,,300
Beni Khiar,Vente,Maisons,V473 villa rahil beni kh,630000.0,2024-04-12,Moyen-Haut,630000.0,630000.0,Villa,4.0,,300
