Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
La Soukra,Villa,300,4.0,5.0,990000.0
El Aouina,Appartement,150,2.0,2.0,305000.0
Le Bardo,Villa,300,4.0,5.0,4500000.0
Hammamet,Villa,300,4.0,5.0,950000.0
Hammamet,Appartement,150,2.0,3.0,360000.0
Borj Louzir,Appartement,150,2.0,2.0,145000.0
El Aouina,Appartement,150,3.0,4.0,270000.0
El Menzah 9,Villa,300,3.0,4.0,730000.0
Hammam Lif,Maison,150,2.0,3.0,360000.0
Cite El Ghazala,Appartement,150,2.0,3.0,420000.0
Borj Louzir,Villa,300,4.0,5.0,1400000.0
Riadh Landlous,Villa,300,4.0,5.0,1650000.0
Sidi Salah,Appartement,150,1.0,1.0,120000.0
El Aouina,Appartement,150,2.0,3.0,287000.0
Jendouba,Villa,300,3.0,4.0,650000.0
El Menzah 6,Appartement,300,2.0,3.0,550000.0
El Aouina,Appartement,150,2.0,3.0,263610.0
Le Bardo,Villa,300,3.0,4.0,560000.0
El Mourouj,Maison,150,2.0,3.0,400000.0
El Aouina,Appartement,300,1.0,1.0,1850000.0
El Menzah 7,Appartement,150,2.0,3.0,212000.0
Cite Bhar Lazre,Appartement,150,2.0,3.0,340000.0
Cite Hotel Des,Maison,150,2.0,3.0,360000.0
Salambo,Appartement,150,3.0,4.0,380000.0
Ariana,Appartement,150,2.0,2.0,202000.0
Hammamet,Villa,300,4.0,5.0,1550000.0
Jabbes,Villa,300,3.0,4.0,625000.0
La Soukra,Villa,300,4.0,5.0,970000.0
Hammamet,Villa,300,4.0,5.0,1500000.0
El Aouina,Appartement,150,2.0,2.0,178000.0
Le Kef,Maison,150,2.0,3.0,200000.0
Ain Zaghouan,Appartement,150,1.0,1.0,160000.0
Chatt Meriem,Appartement,300,3.0,4.0,540000.0
El Aouina,Appartement,150,1.0,1.0,167000.0
La Soukra,Appartement,150,3.0,4.0,450000.0
El Aouina,Appartement,150,3.0,4.0,360000.0
Jardins d'el Me,Appartement,150,2.0,2.0,180000.0
El Mourouj,Maison,150,2.0,3.0,260000.0
Bab Menara,Appartement,150,2.0,2.0,120000.0
La Soukra,Appartement,150,2.0,2.0,180000.0
Cite Ennasr 2,Appartement,150,3.0,4.0,250000.0
Zaouiet Sousse,Appartement,150,2.0,3.0,390000.0
Hammamet,Villa,300,4.0,5.0,890000.0
La Soukra,Appartement,150,2.0,3.0,405000.0
Sidi Jedidi,Villa,300,3.0,4.0,790000.0
Cite Ennasr 1,Appartement,150,3.0,5.0,360000.0
Hammamet,Villa,300,4.0,5.0,990000.0
La Soukra,Appartement,150,2.0,2.0,180000.0
El Menzah 9,Appartement,150,2.0,3.0,380000.0
El Aouina,Appartement,150,3.0,4.0,365000.0
Le Bardo,Maison,150,2.0,3.0,350000.0
Jardins de Cart,Appartement,150,2.0,2.0,410000.0
El Mourouj,Appartement,150,2.0,3.0,140000.0
Bou Argoub,Maison,150,2.0,3.0,300000.0
Cite Ennasr 1,Appartement,150,3.0,4.0,465000.0
Marsa Safsaf,Appartement,300,2.0,3.0,1500000.0
Nouvelle Medina,Appartement,150,2.0,2.0,108000.0
Cite Ennkhilet,Appartement,150,2.0,3.0,210000.0
Cite Bhar Lazre,Appartement,150,2.0,2.0,120000.0
El Aouina,Appartement,150,2.0,3.0,285000.0
Hammam Sousse,Appartement,150,2.0,3.0,180000.0
Hammamet,Villa,300,4.0,5.0,1250000.0
Borj Touil,Maison,150,2.0,3.0,350000.0
El Aouina,Appartement,150,2.0,2.0,248400.0
Zone urbaine no,Appartement,300,2.0,3.0,590000.0
Kalaa Essghira,Maison,50,1.0,1.0,75000.0
Cite Gharnata,Maison,150,2.0,3.0,350000.0
Borj Touil,Maison,150,2.0,3.0,330000.0
La Soukra,Maison,150,2.0,3.0,440000.0
Hammamet,Villa,300,3.0,4.0,780000.0
El Mourouj,Appartement,150,2.0,3.0,107000.0
Cite El Ghazala,Appartement,150,2.0,3.0,275000.0
Gammart,Villa,300,4.0,5.0,2600000.0
Cite Ibn Khaldo,Maison,150,2.0,3.0,430000.0
Cite Ennasr 2,Villa,300,4.0,5.0,3000000.0
Chatt Meriem,Appartement,150,3.0,4.0,175000.0
La Soukra,Appartement,150,3.0,4.0,365000.0
Chouchet Rades,Appartement,150,2.0,3.0,300000.0
El Mourouj,Appartement,150,2.0,3.0,120000.0
La Soukra,Appartement,150,3.0,4.0,327000.0
El Menzah 9,Appartement,150,2.0,3.0,470000.0
Jardins de Cart,Appartement,300,2.0,2.0,506620.0
Zone Hoteliere,Appartement,300,3.0,4.0,650000.0
El Mourouj,Appartement,150,3.0,4.0,180000.0
Hammam Lif,Villa,300,4.0,5.0,999000.0
Sfax,Appartement,50,2.0,3.0,60000.0
Kerkouane,Maison,150,2.0,3.0,150000.0
Le Bardo,Villa,300,3.0,4.0,750000.0
Hammamet,Villa,300,4.0,5.0,1050000.0
Denden,Appartement,150,2.0,3.0,180000.0
Cite Ennasr 2,Appartement,150,3.0,4.0,410000.0
El Aouina,Appartement,150,1.0,1.0,183000.0
Hammamet,Villa,300,3.0,4.0,750000.0
Hammam Sousse,Appartement,150,2.0,3.0,240000.0
El Menzah 5,Villa,300,4.0,5.0,1600000.0
Cite El Mahrsi,Villa,300,4.0,5.0,2300000.0
Carthage,Appartement,300,3.0,5.0,8500000.0
Cherifate,Villa,300,4.0,5.0,11000000.0
Sahloul,Appartement,150,2.0,3.0,220000.0
Hammam Sousse,Maison,150,2.0,3.0,230000.0
Cite Ennasr 1,Appartement,150,3.0,4.0,500000.0
Mornaguia,Villa,300,3.0,4.0,650000.0
Monfleury,Maison,150,2.0,3.0,200000.0
Ain Zaghouan,Appartement,300,2.0,3.0,710000.0
El Aouina,Appartement,150,2.0,2.0,263610.0
Chatt Meriem,Maison,150,2.0,3.0,290000.0
Ain Zaghouan,Appartement,150,2.0,2.0,240000.0
La Soukra,Appartement,150,2.0,3.0,460000.0
La Soukra,Villa,300,4.0,5.0,1350000.0
