Région,Type de bien,Nature,Superficie,Nb_Salles De bain,Nb_Chambres,Prix,Date_De_Modification,Texte Annonce
La Manouba,N/A,À Vendre,518,3,4,1290,2024-12-12,N/A
Tunis,N/A,À Vendre,350,3,4,850000,2024-12-12,N/A
Ariana,N/A,À Vendre,575,4,4,0,2024-12-12,N/A
Tunis,N/A,N/A,N/A,N/A,3,220,2024-12-12,N/A
Tunis,N/A,À Louer,N/A,N/A,N/A,4300,2024-12-12,N/A
La Manouba,N/A,À Vendre,N/A,N/A,6,265000,2024-12-12,N/A
Tunis,N/A,À Vendre,400,2,4,860000,2024-12-12,N/A
Tunis,N/A,À Vendre,330,3,3,720000,2024-12-12,N/A
Nabeul,N/A,À Vendre,420,1,3,680000,2024-12-12,N/A
Ben Arous,N/A,À Vendre,256,2,4,1,2024-12-12,N/A
Nabeul,N/A,À Vendre,385,3,6,1250000,2024-12-12,N/A
Tunis,N/A,À Vendre,470,4,7,1500000,2024-12-12,N/A
Médenine,N/A,À Vendre,220,2,4,1,2024-12-12,N/A
Sousse,N/A,À Vendre,405,2,5,750000,2024-12-12,N/A
Sousse,N/A,À Vendre,180,2,2,150000,2024-12-12,N/A
Ariana,N/A,À Vendre,764,0,2,950000,2024-12-12,N/A
Ben Arous,N/A,À Vendre,440,4,8,550,2024-12-12,N/A
Ben Arous,N/A,À Vendre,85,3,8,160000,2024-12-12,N/A
Nabeul,N/A,À Vendre,1085,N/A,N/A,600000,2024-12-12,N/A
Ben Arous,N/A,À Vendre,350,5,6,550000,2024-12-12,N/A
Ariana,N/A,À Vendre,150,1,3,400000,2024-12-12,N/A
Tunis,N/A,À Vendre,400,2,4,750000,2024-12-11,N/A
Nabeul,N/A,À Vendre,530,2,0,650000,2024-12-11,N/A
Tunis,N/A,À Vendre,120,1,3,50000,2024-12-11,N/A
Ben Arous,N/A,À Vendre,504,2,3,380000,2024-12-11,N/A
Sfax,N/A,À Louer,400,1,1,0,2024-12-11,N/A
Nabeul,N/A,À Vendre,1500,3,3,480000,2024-12-11,N/A
Tunis,N/A,À Vendre,400,4,8,750000,2024-12-11,N/A
Tunis,N/A,À Vendre,411,5,8,1050000,2024-12-11,N/A
Ben Arous,N/A,À Vendre,440,2,4,550000,2024-12-11,N/A
Tunis,N/A,À Vendre,550,2,8,970000,2024-12-11,N/A
Ariana,N/A,N/A,N/A,N/A,4,820000,2024-12-11,N/A
Ben Arous,N/A,À Vendre,0,0,0,0,2024-12-11,N/A
Nabeul,N/A,À Vendre,1495,3,4,1,2024-12-11,N/A
Ben Arous,N/A,À Vendre,133,3,3,550000,2024-12-11,N/A
Bizerte,N/A,À Vendre,103,2,4,0,2024-12-11,N/A
Bizerte,N/A,À Vendre,206,2,3,470000,2024-12-11,N/A
Tunis,N/A,À Vendre,654,4,4,1800000,2024-12-11,N/A
Tunis,N/A,À Vendre,400,3,5,1350000,2024-12-11,N/A
Tunis,N/A,À Vendre,136,1,3,500000,2024-12-11,N/A
Tunis,N/A,À Louer,240,2,8,440000,2024-12-11,N/A
Nabeul,N/A,À Vendre,245,1,3,270000,2024-12-11,N/A
Nabeul,N/A,À Vendre,391,4,10,1300000,2024-12-11,N/A
Nabeul,N/A,À Vendre,743,2,4,660000,2024-12-11,N/A
Tunis,N/A,À Vendre,500,6,10,0,2024-12-11,N/A
Ariana,N/A,À Vendre,324,0,3,350000,2024-12-11,N/A
Ariana,N/A,À Vendre,156,0,3,295000,2024-12-11,N/A
Tunis,N/A,À Vendre,463,4,5,1550000,2024-12-11,N/A
Ben Arous,N/A,À Vendre,200,1,3,490000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,147,1,4,379000,2024-12-10,N/A
Nabeul,N/A,À Vendre,318,4,4,1000000,2024-12-10,N/A
Tunis,N/A,À Vendre,520,4,6,980000,2024-12-10,N/A
Tunis,N/A,À Vendre,172,1,3,190,2024-12-10,N/A
Ben Arous,N/A,À Vendre,90,1,3,98000,2024-12-10,N/A
Ariana,N/A,À Vendre,620,1,4,360000,2024-12-10,N/A
Nabeul,N/A,À Vendre,520,4,5,0,2024-12-10,N/A
